zone_id,name,,access_node_vector_backup,x_coord,y_coord
100007,,,100007,-111.770652,33.357293
100017,,,100017,-111.811399,33.364319
100012,,,100012,-111.796064,33.330825
100004,,,100004,-111.782313,33.371732
100002,,,100002,-111.798607,33.371676
100015,,,100015,-111.81296,33.349791
100001,,,100001,-111.807131,33.368541
100016,,,100016,-111.811686,33.35707
100013,,,100013,-111.80692,33.331666
100006,,,100006,-111.767511,33.364629
100008,,,100008,-111.764345,33.350139
100014,,,100014,-111.813202,33.335823
100009,,,100009,-111.767675,33.335624
100003,,,100003,-111.790021,33.371674
100011,,,100011,-111.790388,33.330709
100005,,,100005,-111.773683,33.371797
100010,,,100010,-111.772984,33.331867
1520024,,,1520024,-111.796764,33.352638
1520001,,,1520001,-111.804925,33.363248
1521003,,,1521003,-111.7925,33.347989
1520002,,,1520002,-111.800921,33.36229
1520003,,,1520003,-111.795441,33.362041
1520004,,,1520004,-111.7915,33.36313
1520005,,,1520005,-111.792332,33.361687
1520006,,,1520006,-111.805176,33.36111
1520014,,,1520014,-111.793839,33.356441
1520013,,,1520013,-111.796116,33.354251
1520010,,,1520010,-111.794075,33.358435
1520007,,,1520007,-111.804376,33.358461
1520008,,,1520008,-111.800371,33.358172
1520009,,,1520009,-111.797231,33.359497
1520011,,,1520011,-111.790981,33.358605
1520012,,,1520012,-111.802962,33.355103
1520019,,,1520019,-111.792097,33.35547
1523005,,,1523005,-111.787899,33.360141
1520020,,,1520020,-111.791499,33.355428
1523006,,,1523006,-111.788079,33.358143
1521002,,,1521002,-111.79615,33.348425
1520022,,,1520022,-111.790375,33.354401
1523002,,,1523002,-111.784679,33.36245
1523001,,,1523001,-111.788737,33.363062
1521005,,,1521005,-111.792094,33.343796
1520029,,,1520029,-111.797236,33.356219
1520016,,,1520016,-111.791355,33.356568
1520015,,,1520015,-111.79238,33.356552
1523003,,,1523003,-111.779766,33.362512
1520025,,,1520025,-111.793841,33.353948
1520017,,,1520017,-111.790314,33.356832
1523004,,,1523004,-111.774926,33.360797
1520018,,,1520018,-111.793336,33.355639
1520028,,,1520028,-111.797804,33.357446
1523008,,,1523008,-111.779385,33.358786
1520030,,,1520030,-111.79578,33.355759
1523007,,,1523007,-111.783686,33.358678
1520021,,,1520021,-111.790294,33.355494
1521007,,,1521007,-111.791377,33.337622
1520023,,,1520023,-111.802781,33.352393
1521004,,,1521004,-111.795459,33.344851
1521001,,,1521001,-111.803955,33.347713
1520027,,,1520027,-111.792844,33.35122
1520026,,,1520026,-111.796295,33.351198
1521006,,,1521006,-111.795075,33.338907
1523012,,,1523012,-111.789268,33.355584
1523011,,,1523011,-111.786543,33.356456
1523013,,,1523013,-111.788557,33.3557
1523015,,,1523015,-111.788652,33.354188
1523009,,,1523009,-111.789214,33.356458
1523010,,,1523010,-111.788534,33.356539
1523014,,,1523014,-111.789202,33.354019
1523016,,,1523016,-111.78697,33.355086
1523017,,,1523017,-111.784009,33.355742
1523018,,,1523018,-111.778138,33.355413
1523019,,,1523019,-111.788685,33.353039
1523020,,,1523020,-111.787277,33.352867
1523022,,,1523022,-111.785174,33.352345
1523021,,,1523021,-111.7883,33.351463
1523023,,,1523023,-111.778505,33.352361
1524011,,,1524011,-111.789,33.34944
1523024,,,1523024,-111.774642,33.352115
1524001,,,1524001,-111.787767,33.34892
1524002,,,1524002,-111.782548,33.349346
1524003,,,1524003,-111.779804,33.348675
1524004,,,1524004,-111.777453,33.347458
1524010,,,1524010,-111.776947,33.337727
1524009,,,1524009,-111.783122,33.338845
1524007,,,1524007,-111.789086,33.33689
1524005,,,1524005,-111.785279,33.344528
1524006,,,1524006,-111.778562,33.342619
1524008,,,1524008,-111.786091,33.33717
