node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry,,ID,Longitude,Latitude,Elevation,,
229,,-111.789628,33.352928,,,0,"POINT (-111.789628 33.352928)",,229,-111789628,33352928,0,,
175,,-111.791706,33.357023,,,0,"POINT (-111.791706 33.357023)",,175,-111791706,33357023,0,,
349,,-111.791703,33.356752,,,0,"POINT (-111.791703 33.356752)",,349,-111791703,33356752,0,,
112,,-111.802772,33.364381,,,0,"POINT (-111.802772 33.364381)",,112,-111802772,33364381,0,,
238,,-111.804909,33.364365,,,0,"POINT (-111.804909 33.364365)",,238,-111804909,33364365,0,,
113,,-111.807056,33.364348,,,0,"POINT (-111.807056 33.364348)",,113,-111807056,33364348,0,,
100017,,-111.811399,33.364319,,,100017,"POINT (-111.811399 33.364319)",,100017,-111811399,33364319,0,,
211,,-111.807027,33.353268,,,0,"POINT (-111.807027 33.353268)",,211,-111807027,33353268,0,,
13,,-111.798481,33.364407,,,0,"POINT (-111.798481 33.364407)",,13,-111798481,33364407,0,,
237,,-111.800984,33.364389,,,0,"POINT (-111.800984 33.364389)",,237,-111800984,33364389,0,,
147,,-111.791657,33.359616,,,0,"POINT (-111.791657 33.359616)",,147,-111791657,33359616,0,,
269,,-111.791736,33.358684,,,0,"POINT (-111.791736 33.358684)",,269,-111791736,33358684,0,,
72,,-111.794420,33.356043,,,0,"POINT (-111.794420 33.356043)",,72,-111794420,33356043,0,,
346,,-111.795192,33.356505,,,0,"POINT (-111.795192 33.356505)",,346,-111795192,33356505,0,,
183,,-111.791708,33.357145,,,0,"POINT (-111.791708 33.357145)",,183,-111791708,33357145,0,,
579,,-111.793675,33.357009,,,0,"POINT (-111.793675 33.357009)",,579,-111793675,33357009,0,,
165,,-111.796528,33.356791,,,0,"POINT (-111.796528 33.356791)",,165,-111796528,33356791,0,,
159,,-111.798372,33.356660,,,0,"POINT (-111.798372 33.356660)",,159,-111798372,33356660,0,,
160,,-111.798356,33.355225,,,0,"POINT (-111.798356 33.355225)",,160,-111798356,33355225,0,,
164,,-111.796523,33.355222,,,0,"POINT (-111.796523 33.355222)",,164,-111796523,33355222,0,,
569,,-111.794763,33.355219,,,0,"POINT (-111.794763 33.355219)",,569,-111794763,33355219,0,,
94,,-111.794752,33.353783,,,0,"POINT (-111.794752 33.353783)",,94,-111794752,33353783,0,,
61,,-111.792558,33.354841,,,0,"POINT (-111.792558 33.354841)",,61,-111792558,33354841,0,,
198,,-111.791675,33.354849,,,0,"POINT (-111.791675 33.354849)",,198,-111791675,33354849,0,,
347,,-111.793588,33.356045,,,0,"POINT (-111.793588 33.356045)",,347,-111793588,33356045,0,,
181,,-111.791124,33.357154,,,0,"POINT (-111.791124 33.357154)",,181,-111791124,33357154,0,,
168,,-111.795925,33.356942,,,0,"POINT (-111.795925 33.356942)",,168,-111795925,33356942,0,,
179,,-111.792574,33.356019,,,0,"POINT (-111.792574 33.356019)",,179,-111792574,33356019,0,,
32,,-111.791696,33.356028,,,0,"POINT (-111.791696 33.356028)",,32,-111791696,33356028,0,,
558,,-111.791685,33.355421,,,0,"POINT (-111.791685 33.355421)",,558,-111791685,33355421,0,,
100002,,-111.798607,33.371676,,,100002,"POINT (-111.798607 33.371676)",,100002,-111798607,33371676,0,,
261,,-111.795455,33.364422,,,0,"POINT (-111.795455 33.364422)",,261,-111795455,33364422,0,,
60,,-111.798431,33.360679,,,0,"POINT (-111.798431 33.360679)",,60,-111798431,33360679,0,,
262,,-111.795388,33.360071,,,0,"POINT (-111.795388 33.360071)",,262,-111795388,33360071,0,,
239,,-111.798456,33.362054,,,0,"POINT (-111.798456 33.362054)",,239,-111798456,33362054,0,,
78,,-111.798399,33.358315,,,0,"POINT (-111.798399 33.358315)",,78,-111798399,33358315,0,,
149,,-111.798400,33.358416,,,0,"POINT (-111.798400 33.358416)",,149,-111798400,33358416,0,,
59,,-111.798396,33.358024,,,0,"POINT (-111.798396 33.358024)",,59,-111798396,33358024,0,,
150,,-111.790777,33.358346,,,0,"POINT (-111.790777 33.358346)",,150,-111790777,33358346,0,,
151,,-111.791729,33.358346,,,0,"POINT (-111.791729 33.358346)",,151,-111791729,33358346,0,,
170,,-111.795993,33.356837,,,0,"POINT (-111.795993 33.356837)",,170,-111795993,33356837,0,,
100001,,-111.807131,33.368541,,,100001,"POINT (-111.807131 33.368541)",,100001,-111807131,33368541,0,,
240,,-111.807055,33.361608,,,0,"POINT (-111.807055 33.361608)",,240,-111807055,33361608,0,,
120,,-111.807075,33.357074,,,0,"POINT (-111.807075 33.357074)",,120,-111807075,33357074,0,,
