node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry,control_type,,
11151,,-111.906610,40.605960,,,12,"POINT (-111.906610 40.605960)",,,
5034,,-111.902804,40.610814,,,13,"POINT (-111.902804 40.610814)",,,
1289,,-111.933868,40.616707,,,17,"POINT (-111.933868 40.616707)",,,
1325,,-111.907451,40.592344,,,24,"POINT (-111.907451 40.592344)",,,
1354,,-111.923428,40.584054,,,25,"POINT (-111.923428 40.584054)",,,
1323,,-111.921418,40.591609,,,26,"POINT (-111.921418 40.591609)",,,
1359,,-111.911824,40.577722,,,28,"POINT (-111.911824 40.577722)",,,
3002,,-111.911260,40.581966,,,29,"POINT (-111.911260 40.581966)",,,
1360,,-111.901834,40.584029,,,30,"POINT (-111.901834 40.584029)",,,
1319,,-111.934408,40.607297,,,34,"POINT (-111.934408 40.607297)",,,
1320,,-111.934152,40.599993,,,-1,"POINT (-111.934152 40.599993)",,,
1322,,-111.934349,40.591006,,,-1,"POINT (-111.934349 40.591006)",,,
1299,,-111.908054,40.616174,,,36,"POINT (-111.908054 40.616174)",,,
1353,,-111.934266,40.584068,,,-1,"POINT (-111.934266 40.584068)",,,
1,,-111.920177,40.587738,,,-1,"POINT (-111.920177 40.587738)",,,
2,,-111.918417,40.587734,,,-1,"POINT (-111.918417 40.587734)",,,
3,,-111.916477,40.587730,,,-1,"POINT (-111.916477 40.587730)",,,
4,,-111.914379,40.587726,,,-1,"POINT (-111.914379 40.587726)",,,
5,,-111.912416,40.587722,,,-1,"POINT (-111.912416 40.587722)",,,
1358,,-111.911502,40.583522,,,-1,"POINT (-111.911502 40.583522)",,,
3000,,-111.916207,40.581200,,,-1,"POINT (-111.916207 40.581200)",,,
3001,,-111.909573,40.580790,,,-1,"POINT (-111.909573 40.580790)",,,
4156,,-111.900942,40.585620,,,-1,"POINT (-111.900942 40.585620)",,,
4804,,-111.910307,40.602331,,,-1,"POINT (-111.910307 40.602331)",,,
4952,,-111.929251,40.616674,,,-1,"POINT (-111.929251 40.616674)",,,
5009,,-111.913172,40.610470,,,-1,"POINT (-111.913172 40.610470)",,,
5010,,-111.910059,40.616076,,,-1,"POINT (-111.910059 40.616076)",,,
5017,,-111.938751,40.609517,,,-1,"POINT (-111.938751 40.609517)",,,
5022,,-111.929163,40.609415,,,-1,"POINT (-111.929163 40.609415)",,,
5027,,-111.910314,40.610655,,,-1,"POINT (-111.910314 40.610655)",,,
5103,,-111.929223,40.594991,,,-1,"POINT (-111.929223 40.594991)",,,
5106,,-111.910268,40.598557,,,-1,"POINT (-111.910268 40.598557)",,,
5109,,-111.910315,40.605939,,,-1,"POINT (-111.910315 40.605939)",,,
5112,,-111.938730,40.587762,,,-1,"POINT (-111.938730 40.587762)",,,
5114,,-111.929195,40.587794,,,-1,"POINT (-111.929195 40.587794)",,,
5117,,-111.910225,40.587717,,,-1,"POINT (-111.910225 40.587717)",,,
