od_no,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,agent_type,demand_period,volume,connectivity_flag,s_x_coord,s_y_coord,t_x_coord,t_y_coord,path_FF_travel_time_min,distance_km,distance_mile,
1,1,2,0,1,0,0,rt,AM,30.37,1,-111.942300,40.624038,-111.943739,40.609520,2.1509,2.3396,1.4541,
2,1,3,0,2,0,0,rt,AM,61.24,1,-111.942300,40.624038,-111.943604,40.587762,4.2029,4.7456,2.9494,
3,1,4,0,3,0,0,rt,AM,2.94,1,-111.942300,40.624038,-111.944442,40.573253,5.9902,6.4468,4.0067,
4,1,5,0,4,0,0,rt,AM,21.04,1,-111.942300,40.624038,-111.943762,40.562247,6.9693,7.5898,4.7171,
5,1,6,0,5,0,0,rt,AM,28.05,1,-111.942300,40.624038,-111.938753,40.552997,7.5239,8.1917,5.0912,
6,1,7,0,6,0,0,rt,AM,19.72,1,-111.942300,40.624038,-111.929153,40.555761,8.2629,8.6785,5.3937,
7,1,8,0,7,0,0,rt,AM,3.13,1,-111.942300,40.624038,-111.902749,40.557151,9.4044,9.2041,5.7204,
8,1,9,0,8,0,0,rt,AM,134.56,1,-111.942300,40.624038,-111.899113,40.558973,9.5776,9.3090,5.7856,
9,1,10,0,9,0,0,rt,AM,8.83,1,-111.942300,40.624038,-111.897106,40.569721,9.3116,9.0396,5.6181,
10,1,11,0,10,0,0,rt,AM,179.59,1,-111.942300,40.624038,-111.901030,40.587971,7.5428,7.6825,4.7747,
11,1,12,0,11,0,0,rt,AM,4.81,1,-111.942300,40.624038,-111.906610,40.605960,5.1925,4.7516,2.9532,
12,1,13,0,12,0,0,rt,AM,91.11,1,-111.942300,40.624038,-111.902804,40.610814,4.7700,4.5906,2.8531,
13,1,14,0,13,0,0,rt,AM,111.77,1,-111.942300,40.624038,-111.901884,40.620828,4.0006,3.6809,2.2877,
14,1,15,0,14,0,0,rt,AM,41.89,1,-111.942300,40.624038,-111.910059,40.625783,3.5557,3.3489,2.0814,
15,1,16,0,15,0,0,rt,AM,52.29,1,-111.942300,40.624038,-111.929192,40.626782,1.5470,1.4553,0.9045,
16,1,17,0,16,0,0,rt,AM,40.78,0,-111.942300,40.624038,-111.933868,40.616707
16,1,18,0,17,0,0,rt,AM,39.70,0,-111.942300,40.624038,-111.934202,40.630776
16,1,19,0,18,0,0,rt,AM,51.70,0,-111.942300,40.624038,-111.933963,40.567876
16,1,20,0,19,0,0,rt,AM,38.51,0,-111.942300,40.624038,-111.924114,40.567177
16,1,21,0,20,0,0,rt,AM,103.12,1,-111.942300,40.624038,-111.913648,40.554715,9.8456,10.1690,6.3201,
17,1,22,0,21,0,0,rt,AM,52.35,1,-111.942300,40.624038,-111.900748,40.562521,8.8121,8.7728,5.4524,
18,1,23,0,22,0,0,rt,AM,24.00,0,-111.942300,40.624038,-111.902492,40.575680
18,1,24,0,23,0,0,rt,AM,135.12,0,-111.942300,40.624038,-111.907451,40.592344
18,1,25,0,24,0,0,rt,AM,9.19,0,-111.942300,40.624038,-111.923428,40.584054
18,1,26,0,25,0,0,rt,AM,18.13,0,-111.942300,40.624038,-111.921418,40.591609
18,1,27,0,26,0,0,rt,AM,27.98,0,-111.942300,40.624038,-111.943605,40.584092
18,1,28,0,27,0,0,rt,AM,41.41,0,-111.942300,40.624038,-111.911824,40.577722
18,1,30,0,29,0,0,rt,AM,17.74,0,-111.942300,40.624038,-111.901834,40.584029
18,1,31,0,30,0,0,rt,AM,55.35,0,-111.942300,40.624038,-111.944074,40.606326
18,1,32,0,31,0,0,rt,AM,36.91,0,-111.942300,40.624038,-111.943375,40.616454
18,1,33,0,32,0,0,rt,AM,16.03,0,-111.942300,40.624038,-111.943535,40.568001
18,1,34,0,33,0,0,rt,AM,90.96,0,-111.942300,40.624038,-111.934408,40.607297
18,1,35,0,34,0,0,rt,AM,13.23,0,-111.942300,40.624038,-111.924502,40.617134
18,1,36,0,35,0,0,rt,AM,21.04,0,-111.942300,40.624038,-111.908054,40.616174
18,1,37,0,36,0,0,rt,AM,42.17,0,-111.942300,40.624038,-111.934352,40.576870
18,1,38,0,37,0,0,rt,AM,36.80,0,-111.942300,40.624038,-111.936589,40.553565
18,1,39,0,38,0,0,rt,AM,14.60,0,-111.942300,40.624038,-111.908153,40.571760
18,1,40,0,39,0,0,rt,AM,6.49,0,-111.942300,40.624038,-111.915638,40.613722
