link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,volume_before_odme,volume_after_odme,volume_diff_odme,obs_count,upper_bound_type,obs_count_dev_odme,preload_volume,person_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,qdf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_rt,person_vol_hist,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,scenario_code,volume_before_sa,volume_after_sa,volume_diff_sa,speed_before_sa,speed_after_sa,speed_diff_sa,DoC_before_sa,DoC_after_sa,Doc_diff_sa,P_before_sa,P_after_sa,P_diff_sa,notes
1,bpr,1285,5018,7.000000,0.383586,0.238400,0.680720,-1,0,,network_wide,-1,0,-1,-1,99,,,0700_0800,524.109,-1.000,0.000,524.109,524.109,0.000,,,,0.000,524.109,0.681,33.810,21.013,1.000,0.052,0.007,10000.000,0.000,0.000,0.000,1.000,7.000,74.873,0.955,1.142,0.000,0.000,33.810,28.739,0.400,4.000,33.810,28.739,124.948,5.950,124.948,5.950,0.000,0.000,"",524.109,0.000,33.810,33.810,33.810,33.810,33.810,33.810,32.119,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,,0.000,524.109,524.109,0.000,33.810,33.810,0.000,0.007,0.007,0.000,0.000,0.000,period-based
2,bpr,1286,11125,7.000000,0.749794,0.466000,1.330602,-1,0,,network_wide,-1,0,-1,-1,99,,,0700_0800,467.740,-1.000,0.000,467.740,467.740,0.000,,,,0.000,467.740,1.331,33.810,21.013,1.000,0.047,0.007,10000.000,0.000,0.000,0.000,1.000,7.000,66.820,0.955,1.142,0.000,0.000,33.810,28.739,0.400,4.000,33.810,28.739,217.967,10.379,217.967,10.379,0.000,0.000,"",467.740,0.000,33.810,33.810,33.810,33.810,33.810,33.810,32.120,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,,0.000,467.740,467.740,0.000,33.810,33.810,0.000,0.007,0.007,0.000,0.000,0.000,period-based
3,bpr,1289,4952,7.000000,0.390504,0.242700,0.692998,-1,0,,network_wide,-1,0,-1,-1,99,,,0700_0800,467.570,-1.000,0.000,467.570,467.570,0.000,,,,0.000,467.570,0.693,33.810,21.013,1.000,0.047,0.007,10000.000,0.000,0.000,0.000,1.000,7.000,66.796,0.955,1.142,0.000,0.000,33.810,28.739,0.400,4.000,33.810,28.739,113.479,5.404,113.479,5.404,0.000,0.000,"",467.570,0.000,33.810,33.810,33.810,33.810,33.810,33.810,32.120,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,,0.000,467.570,467.570,0.000,33.810,33.810,0.000,0.007,0.007,0.000,0.000,0.000,period-based
4,bpr,1289,5018,7.000000,0.421719,0.262100,0.748392,-1,0,,network_wide,-1,0,-1,-1,99,,,0700_0800,133.097,-1.000,0.000,133.097,133.097,0.000,,,,0.000,133.097,0.749,33.810,21.013,1.000,0.013,0.002,10000.000,0.000,0.000,0.000,1.000,7.000,19.014,0.955,1.142,0.000,0.000,33.810,28.739,0.400,4.000,33.810,28.739,34.885,1.661,34.885,1.661,0.000,0.000,"",133.097,0.000,33.810,33.810,33.810,33.810,33.810,33.810,32.120,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,,0.000,133.097,133.097,0.000,33.810,33.810,0.000,0.002,0.002,0.000,0.000,0.000,period-based
5,bpr,1289,11124,7.000000,0.815602,0.506900,1.447386,-1,0,,network_wide,-1,0,-1,-1,99,,,0700_0800,80.013,-1.000,0.000,80.013,80.013,0.000,,,,0.000,80.013,1.448,33.810,21.013,1.000,0.008,0.001,10000.000,0.000,0.000,0.000,1.000,7.000,11.430,0.955,1.142,0.000,0.000,33.810,28.739,0.400,4.000,33.810,28.739,40.558,1.931,40.558,1.931,0.000,0.000,"",80.013,0.000,33.810,33.810,33.810,33.810,33.810,33.810,32.118,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,,0.000,80.013,80.013,0.000,33.810,33.810,0.000,0.001,0.001,0.000,0.000,0.000,period-based
6,bpr,1289,11125,7.000000,0.812062,0.504700,1.441104,-1,0,,network_wide,-1,0,-1,-1,99,,,0700_0800,203.829,-1.000,0.000,203.829,203.829,0.000,,,,0.000,203.829,1.442,33.810,21.013,1.000,0.020,0.003,10000.000,0.000,0.000,0.000,1.000,7.000,29.118,0.955,1.142,0.000,0.000,33.810,28.739,0.400,4.000,33.810,28.739,102.872,4.899,102.872,4.899,0.000,0.000,"",203.829,0.000,33.810,33.810,33.810,33.810,33.810,33.810,32.120,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,,0.000,203.829,203.829,0.000,33.810,33.810,0.000,0.003,0.003,0.000,0.000,0.000,period-based
7,bpr,1290,4952,7.000000,0.404824,0.251600,0.718411,-1,0,,network_wide,-1,0,-1,-1,99,,,0700_0800,235.669,-1.000,0.000,235.669,235.669,0.000,,,,0.000,235.669,0.719,33.810,21.013,1.000,0.024,0.003,10000.000,0.000,0.000,0.000,1.000,7.000,33.667,0.955,1.142,0.000,0.000,33.810,28.739,0.400,4.000,33.810,28.739,59.294,2.824,59.294,2.824,0.000,0.000,"",235.669,0.000,33.810,33.810,33.810,33.810,33.810,33.810,32.120,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,,0.000,235.669,235.669,0.000,33.810,33.810,0.000,0.003,0.003,0.000,0.000,0.000,period-based
8,bpr,1296,5240,7.000000,0.330810,0.205600,0.587064,-1,0,,network_wide,-1,0,-1,-1,99,,,0700_0800,5.997,-1.000,0.000,5.997,5.997,0.000,,,,0.000,5.997,0.587,33.810,21.013,1.000,0.001,0.000,10000.000,0.000,0.000,0.000,1.000,7.000,0.857,0.955,1.142,0.000,0.000,33.810,28.739,0.400,4.000,33.810,28.739,1.233,0.059,1.233,0.059,0.000,0.000,"",5.997,0.000,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,,0.000,5.997,5.997,0.000,33.810,33.810,0.000,0.000,0.000,0.000,0.000,0.000,period-based
9,bpr,1299,4958,7.000000,0.319869,0.198800,0.567647,-1,0,,network_wide,-1,0,-1,-1,99,,,0700_0800,39.186,-1.000,0.000,39.186,39.186,0.000,,,,0.000,39.186,0.568,33.810,21.013,1.000,0.004,0.001,10000.000,0.000,0.000,0.000,1.000,7.000,5.598,0.955,1.142,0.000,0.000,33.810,28.739,0.400,4.000,33.810,28.739,7.790,0.371,7.790,0.371,0.000,0.000,"",39.186,0.000,33.810,33.810,33.810,33.810,33.810,33.810,32.097,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,,0.000,39.186,39.186,0.000,33.810,33.810,0.000,0.001,0.001,0.000,0.000,0.000,period-based
10,bpr,1299,11129,7.000000,0.585193,0.363700,1.038497,-1,0,,network_wide,-1,0,-1,-1,99,,,0700_0800,67.555,-1.000,0.000,67.555,67.555,0.000,,,,0.000,67.555,1.039,33.810,21.013,1.000,0.007,0.001,10000.000,0.000,0.000,0.000,1.000,7.000,9.651,0.955,1.142,0.000,0.000,33.810,28.739,0.400,4.000,33.810,28.739,24.570,1.170,24.570,1.170,0.000,0.000,"",67.555,0.000,33.810,33.810,33.810,33.810,33.810,33.810,32.123,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,,0.000,67.555,67.555,0.000,33.810,33.810,0.000,0.001,0.001,0.000,0.000,0.000,period-based
