name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,production,attraction,activity_location_tab
,1,29464742,,,0,,primary,0,-122.3014251,47.6583247,,,,0,0,
,2,29464746,,,0,,primary,0,-122.3021215,47.6560111,,,,0,0,
,3,29464754,traffic_signals,,1,,primary,0,-122.3038856,47.651066,,,,0,0,
,4,29464758,,,0,,primary,0,-122.3045452,47.6495139,,,,0,0,
,5,29484754,,44,0,,motorway,1,-122.3224229,47.6466995,,,,1000,1000,boundary
,6,29484769,motorway_junction,44,0,,motorway,1,-122.3228931,47.6467065,,,,1000,1000,boundary
,7,29484936,motorway_junction,,0,,motorway,0,-122.3223299,47.6562897,,,,0,0,
,8,29484937,,,0,,motorway,0,-122.3221538,47.6584315,,,,0,0,
,9,29485034,motorway_junction,,0,,motorway,0,-122.3219713,47.6584193,,,,0,0,
,10,29485038,,,0,,motorway,0,-122.3216691,47.6598573,,,,0,0,
,11,29485040,,,0,,motorway,0,-122.3211533,47.6603323,,,,0,0,
,12,29485041,,,0,,secondary,0,-122.3209354,47.6605012,,,,0,0,
,13,29485042,,,0,,secondary,0,-122.3208069,47.6608602,,,,0,0,
,14,29485217,traffic_signals,,1,,secondary,0,-122.3207248,47.6649544,,,,0,0,
,15,29545386,,,0,,motorway,0,-122.321583,47.6636333,,,,0,0,
,16,29545387,,,0,,motorway,0,-122.3217828,47.6659028,,,,0,0,
,17,29545412,traffic_signals,,1,,tertiary,0,-122.3208338,47.6575155,,,,0,0,
,18,29545415,traffic_signals,,1,,secondary,0,-122.3228626,47.6613404,,,,0,0,
,19,29545421,,,0,,motorway,0,-122.3224942,47.660799,,,,0,0,
,20,29545423,,,0,,motorway,0,-122.3226689,47.6580185,,,,0,0,
,21,29545426,traffic_signals,,1,,secondary,0,-122.3228647,47.6649676,,,,0,0,
,22,29545427,,,0,,secondary,0,-122.3228629,47.6620179,,,,0,0,
,23,29545440,,,0,,motorway,0,-122.3214226,47.6573538,,,,0,0,
,24,29545445,motorway_junction,,0,,motorway,0,-122.3224548,47.6556961,,,,0,0,
,25,29545473,,,0,,secondary,0,-122.3207271,47.6652838,,,,0,0,
,26,29545481,,,0,,motorway,0,-122.3227366,47.6623953,,,,0,0,
,27,29545484,,,0,,motorway,0,-122.3224858,47.6629897,,,,0,0,
,28,29545490,,,0,,secondary,0,-122.3207388,47.661721,,,,0,0,
,29,29972814,stop,,0,,tertiary,0,-122.3096608,47.6597571,,,,0,0,
,30,29972834,,,0,,tertiary,0,-122.3045295,47.6578257,,,,0,0,
,31,29972837,stop,,0,,tertiary,0,-122.3046,47.6573624,,,,0,0,
,32,29972840,,,0,,tertiary,0,-122.3047994,47.6567945,,,,0,0,
,33,29972846,stop,,0,,tertiary,0,-122.3046285,47.655002,,,,0,0,
,34,29972868,,,0,,tertiary,0,-122.3104309,47.6532369,,,,0,0,
,35,29973139,,,0,,tertiary,0,-122.311018,47.6550569,,,,0,0,
,36,29973142,,,0,,tertiary,0,-122.3118638,47.6553419,,,,0,0,
,37,29973167,,,0,,secondary,0,-122.3024314,47.6612422,,,,0,0,
,38,29973169,,,0,,secondary,0,-122.2994305,47.6612374,,,,0,0,
,39,29973170,,,0,,secondary,0,-122.2992283,47.6612182,,,,0,0,
,40,29973173,traffic_signals,,1,,secondary,0,-122.2983074,47.6610722,,,,0,0,
,41,29977895,,,0,,primary,0,-122.2996269,47.6606498,,,,0,0,
,42,29977897,traffic_signals,,1,,primary,0,-122.3009897,47.6593986,,,,0,0,
,43,29978100,,,0,,primary,0,-122.3027198,47.6541271,,,,0,0,
,44,30012787,,,0,,tertiary,0,-122.3024424,47.658742,,,,0,0,
,45,30012795,,,0,,tertiary,0,-122.3012419,47.6604277,,,,0,0,
,46,30012797,traffic_signals,,1,,secondary,0,-122.300912,47.6604973,,,,0,0,
,47,30012799,,,0,,secondary,0,-122.3003541,47.6605031,,,,0,0,
,48,30012801,traffic_signals,,1,,tertiary,0,-122.2999419,47.6603301,0,,,0,0,
,49,30079171,,,0,,secondary,0,-122.316695,47.6576411,,,,0,0,
,50,30079365,traffic_signals,,1,,secondary,0,-122.312473,47.6529902,,,,0,0,
,51,30079371,,,0,,secondary,0,-122.3119208,47.6527207,,,,0,0,
,52,30101199,,,0,,tertiary,0,-122.3386901,47.6469265,,,,0,0,
,53,30101211,,,0,,tertiary,0,-122.3304203,47.6509342,,,,0,0,
,54,30101217,,,0,,tertiary,0,-122.3277893,47.6531698,,,,0,0,
,55,30101222,,,0,,tertiary,0,-122.3257108,47.6537816,,,,0,0,
,56,30101226,,,0,,tertiary,0,-122.3235625,47.65397,,,,0,0,
,57,30101230,stop,,0,,tertiary,0,-122.3225434,47.6555174,,,,0,0,
,58,30458584,,44,0,,motorway,1,-122.3226507,47.6467029,,,,1000,1000,boundary
,59,30458587,,,0,,motorway,0,-122.3224808,47.6539699,,,,0,0,
,60,31096023,,,0,,tertiary,0,-122.3381147,47.6468483,,,,0,0,
,61,31192107,traffic_signals,,1,,secondary,0,-122.292818,47.6612083,,,,0,0,
,62,31251510,traffic_signals,,1,,tertiary,0,-122.3144017,47.6562207,,,,0,0,
,63,31251602,traffic_signals,,1,,secondary,0,-122.3120538,47.6561924,,,,0,0,
,64,31251886,traffic_signals,,1,,tertiary,0,-122.3132773,47.6562044,,,,0,0,
,65,31251893,traffic_signals,,1,,secondary,0,-122.3133739,47.6534396,,,,0,0,
,66,31251896,,,0,,secondary,0,-122.3151843,47.6535999,,,,0,0,
,67,31251897,traffic_signals,,1,,secondary,0,-122.3145066,47.6535902,,,,0,0,
,68,31251900,crossing,,0,,tertiary,0,-122.3144797,47.6542111,,,,0,0,
,69,31428566,,,0,,motorway,0,-122.321036,47.6622714,,,,0,0,
,70,31428567,,,0,,motorway,0,-122.3224551,47.6573383,,,,0,0,
,71,31429756,traffic_signals,,1,,secondary,0,-122.307836,47.6506606,,,,0,0,
,72,31429758,traffic_signals,,1,,primary,0,-122.3045829,47.6490186,,,,0,0,
,73,31429759,,,0,,primary,0,-122.3044086,47.649978,,,,0,0,
,74,31430219,,,0,,secondary,0,-122.3064437,47.6505476,,,,0,0,
,75,31430313,,,0,,secondary,0,-122.304585,47.6509642,,,,0,0,
,76,31430318,,,0,,primary,0,-122.3041263,47.6506446,,,,0,0,
,77,31430321,,,0,,primary,0,-122.3034889,47.6518032,,,,0,0,
,78,31430329,,,0,,primary,0,-122.3030914,47.6529149,,,,0,0,
,79,31430457,,,0,,primary,0,-122.2972604,47.6612217,,,,0,0,
,80,31430499,traffic_signals,35,1,,primary,1,-122.2966813,47.6612208,,,,1000,1000,boundary
,81,31430500,,,0,,primary,0,-122.2962198,47.661217,,,,0,0,
,82,31430540,,,0,,primary,0,-122.3009961,47.659056,,,,0,0,
,83,31430639,,,0,,primary,0,-122.2994115,47.6607531,,,,0,0,
,84,31430660,,,0,,secondary,0,-122.2987058,47.6612577,,,,0,0,
,85,32096219,,,0,,primary,0,-122.289329,47.6611264,,,,0,0,
,86,32102030,traffic_signals,,1,,tertiary,0,-122.3174118,47.6537178,3,,,0,0,
,87,32102034,,,0,,secondary,0,-122.3188466,47.6544099,,,,0,0,
,88,32102036,,,0,,secondary,0,-122.31946,47.6545022,,,,0,0,
,89,32102037,,,0,,secondary,0,-122.3198019,47.654542,,,,0,0,
,90,32102038,,,0,,secondary,0,-122.3203316,47.6545102,,,,0,0,
,91,32102039,,,0,,secondary,0,-122.3208676,47.6544733,,,,0,0,
,92,32102041,stop,,0,,secondary,0,-122.3225415,47.654485,,,,0,0,
,93,32102046,,,0,,secondary,0,-122.3153297,47.6536421,,,,0,0,
,94,32102047,,,0,,secondary,0,-122.3169215,47.6536663,,,,0,0,
,95,32102221,,,0,,secondary,0,-122.3189419,47.654316,,,,0,0,
,96,32102516,,,0,,secondary,0,-122.3168765,47.6535859,,,,0,0,
