first_column,zone_id,x_coord,y_coord,super_zone_id,analysis_district_id,demand,subarea_significance_flag,inside_flag
,1,-112.195130,33.667770,0,1,7700.000000,1,3
,2,-112.141410,33.669560,1,2,3300.000000,1,3
,3,-112.185630,33.631480,2,3,3300.000000,1,3
,4,-112.143240,33.639420,3,4,6600.000000,1,3
