link_id,lanes,length,from_node_id,to_node_id,FT,AT,dir_flag,time_period,assignment_period,volume,speed,speed_limit,Date
108,3,0.3441,11,12,1,1,0,0000_0005,1800_0600,120,71.6,35,
108,3,0.3441,11,12,1,1,0,0005_0010,1800_0600,108,70.4,35,
108,3,0.3441,11,12,1,1,0,0010_0015,1800_0600,93,69.9,35,
108,3,0.3441,11,12,1,1,0,0015_0020,1800_0600,93,68.2,35,
108,3,0.3441,11,12,1,1,0,0020_0025,1800_0600,87,67.5,35,
108,3,0.3441,11,12,1,1,0,0025_0030,1800_0600,69,66.2,35,
108,3,0.3441,11,12,1,1,0,0030_0035,1800_0600,66,65.4,35,
108,3,0.3441,11,12,1,1,0,0035_0040,1800_0600,57,65.2,35,
108,3,0.3441,11,12,1,1,0,0040_0045,1800_0600,69,65.9,35,
108,3,0.3441,11,12,1,1,0,0045_0050,1800_0600,60,65.4,35,
108,3,0.3441,11,12,1,1,0,0050_0055,1800_0600,69,65,35,
108,3,0.3441,11,12,1,1,0,0055_0100,1800_0600,63,64.9,35,
108,3,0.3441,11,12,1,1,0,0100_0105,1800_0600,54,64.3,35,
108,3,0.3441,11,12,1,1,0,0105_0110,1800_0600,54,64,35,
108,3,0.3441,11,12,1,1,0,0110_0115,1800_0600,48,62.2,35,
108,3,0.3441,11,12,1,1,0,0115_0120,1800_0600,45,63.1,35,
108,3,0.3441,11,12,1,1,0,0120_0125,1800_0600,48,64.1,35,
108,3,0.3441,11,12,1,1,0,0125_0130,1800_0600,48,62.5,35,
108,3,0.3441,11,12,1,1,0,0130_0135,1800_0600,63,63,35,
108,3,0.3441,11,12,1,1,0,0135_0140,1800_0600,45,62.7,35,
108,3,0.3441,11,12,1,1,0,0140_0145,1800_0600,45,61.7,35,
108,3,0.3441,11,12,1,1,0,0145_0150,1800_0600,36,60.7,35,
108,3,0.3441,11,12,1,1,0,0150_0155,1800_0600,48,62.2,35,
108,3,0.3441,11,12,1,1,0,0155_0200,1800_0600,27,61.7,35,
108,3,0.3441,11,12,1,1,0,0200_0205,1800_0600,33,60.8,35,
108,3,0.3441,11,12,1,1,0,0205_0210,1800_0600,39,60,35,
108,3,0.3441,11,12,1,1,0,0210_0215,1800_0600,24,58.8,35,
108,3,0.3441,11,12,1,1,0,0215_0220,1800_0600,48,62.5,35,
108,3,0.3441,11,12,1,1,0,0220_0225,1800_0600,33,58.5,35,
108,3,0.3441,11,12,1,1,0,0225_0230,1800_0600,36,59.9,35,
108,3,0.3441,11,12,1,1,0,0230_0235,1800_0600,27,59,35,
108,3,0.3441,11,12,1,1,0,0235_0240,1800_0600,36,58.5,35,
108,3,0.3441,11,12,1,1,0,0240_0245,1800_0600,60,62.7,35,
108,3,0.3441,11,12,1,1,0,0245_0250,1800_0600,39,59.7,35,
108,3,0.3441,11,12,1,1,0,0250_0255,1800_0600,48,61.1,35,
108,3,0.3441,11,12,1,1,0,0255_0300,1800_0600,51,59.5,35,
108,3,0.3441,11,12,1,1,0,0300_0305,1800_0600,39,59.8,35,
108,3,0.3441,11,12,1,1,0,0305_0310,1800_0600,39,60,35,
108,3,0.3441,11,12,1,1,0,0310_0315,1800_0600,48,60,35,
108,3,0.3441,11,12,1,1,0,0315_0320,1800_0600,51,59.8,35,
108,3,0.3441,11,12,1,1,0,0320_0325,1800_0600,51,57.4,35,
108,3,0.3441,11,12,1,1,0,0325_0330,1800_0600,54,59.8,35,
108,3,0.3441,11,12,1,1,0,0330_0335,1800_0600,42,60,35,
108,3,0.3441,11,12,1,1,0,0335_0340,1800_0600,0,63.2,35,
108,3,0.3441,11,12,1,1,0,0340_0345,1800_0600,0,63.2,35,
108,3,0.3441,11,12,1,1,0,0345_0350,1800_0600,0,63.2,35,
108,3,0.3441,11,12,1,1,0,0350_0355,1800_0600,0,63.2,35,
108,3,0.3441,11,12,1,1,0,0355_0400,1800_0600,0,63.2,35,
108,3,0.3441,11,12,1,1,0,0400_0405,1800_0600,0,63.2,35,
108,3,0.3441,11,12,1,1,0,0405_0410,1800_0600,0,63.2,35,
108,3,0.3441,11,12,1,1,0,0410_0415,1800_0600,0,63.2,35,
108,3,0.3441,11,12,1,1,0,0415_0420,1800_0600,24,66.9,35,
108,3,0.3441,11,12,1,1,0,0420_0425,1800_0600,132,60,35,
108,3,0.3441,11,12,1,1,0,0425_0430,1800_0600,126,59.2,35,
108,3,0.3441,11,12,1,1,0,0430_0435,1800_0600,180,60.7,35,
108,3,0.3441,11,12,1,1,0,0435_0440,1800_0600,171,59.5,35,
108,3,0.3441,11,12,1,1,0,0440_0445,1800_0600,189,58.2,35,
108,3,0.3441,11,12,1,1,0,0445_0450,1800_0600,177,57,35,
108,3,0.3441,11,12,1,1,0,0450_0455,1800_0600,243,56.5,35,
108,3,0.3441,11,12,1,1,0,0455_0500,1800_0600,231,58.5,35,
108,3,0.3441,11,12,1,1,0,0500_0505,1800_0600,258,57,35,
108,3,0.3441,11,12,1,1,0,0505_0510,1800_0600,246,56.2,35,
108,3,0.3441,11,12,1,1,0,0510_0515,1800_0600,318,55.1,35,
108,3,0.3441,11,12,1,1,0,0515_0520,1800_0600,309,55.2,35,
108,3,0.3441,11,12,1,1,0,0520_0525,1800_0600,354,56,35,
108,3,0.3441,11,12,1,1,0,0525_0530,1800_0600,393,55.2,35,
108,3,0.3441,11,12,1,1,0,0530_0535,1800_0600,447,55.4,35,
108,3,0.3441,11,12,1,1,0,0535_0540,1800_0600,447,55,35,
108,3,0.3441,11,12,1,1,0,0540_0545,1800_0600,540,54.9,35,
