From_Node,To_Node,Type,StationID,link_id
1,2,0,400808,100
2,3,0,400367,101
3,4,0,400679,102
4,5,0,401198,103
5,6,0,400432,104
6,7,0,400728,105
8,9,0,400176,
9,10,0,400009,107
10,11,0,401242,
11,12,0,400126,108
12,13,0,400691,109
13,14,0,400803,110
