first_column,scenario_index,scenario_name,demand_period,mode_type,od_volume,number_of_routes,total_distance_km,total_distance_mile,total_travel_time_min,total_travel_delay_min,total_co2_kg,total_nox_kg,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,avg_travel_delay_in_min,avg_speed_kmph,avg_speed_mph,avg_co2_kg,avg_nox_kg,
0,0,25nb,am,auto,7000,2,204400,127035,210000,5600,70941.8,18.6973,29.2,18.1479,30,0.8,58.4,36.2958,10.1345,0.00267105,
0,0,25nb,am,walk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,25nb,am,bike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,25nb,am,bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,25nb,am,truck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,25nb,am,cav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,25nb,am,ev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,25nb,am,hov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
