link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,main_node_id,movement_str,NEMA_phase_number,geometry,
,TP:LIV->SCA,1931,1194,,1,1,0.89541,1,65.0,1900.0,,,,"LINESTRING (-2.855930 53.410040, -2.842990 53.409680)"
,TP:LIV->SCA,1194,1928,,1,1,5.32266,1,65.0,1900.0,,,,"LINESTRING (-2.842990 53.409680, -2.766400 53.417120)"
,TP:LIV->SCA,1928,1363,,1,1,2.94223,1,65.0,1900.0,,,,"LINESTRING (-2.766400 53.417120, -2.724980 53.426810)"
,TP:LIV->SCA,1363,2054,,1,1,1.77549,1,65.0,1900.0,,,,"LINESTRING (-2.724980 53.426810, -2.700260 53.433730)"
,TP:LIV->SCA,2054,822,,1,1,4.49408,1,65.0,1900.0,,,,"LINESTRING (-2.700260 53.433730, -2.637660 53.451140)"
,TP:LIV->SCA,822,1658,,1,1,1.66953,1,65.0,1900.0,,,,"LINESTRING (-2.637660 53.451140, -2.613600 53.453060)"
,TP:LIV->SCA,1658,773,,1,1,19.43347,1,65.0,1900.0,,,,"LINESTRING (-2.613600 53.453060, -2.334510 53.485360)"
,TP:LIV->SCA,773,2035,,1,1,5.51308,1,65.0,1900.0,,,,"LINESTRING (-2.334510 53.485360, -2.254840 53.483080)"
,TP:LIV->SCA,2035,1509,,1,1,0.89938,1,65.0,1900.0,,,,"LINESTRING (-2.254840 53.483080, -2.242600 53.487470)"
,TP:LIV->SCA,1509,2239,,1,1,12.44265,1,65.0,1900.0,,,,"LINESTRING (-2.242600 53.487470, -2.062740 53.484580)"
,TP:LIV->SCA,2239,970,,1,1,5.05174,1,65.0,1900.0,,,,"LINESTRING (-2.062740 53.484580, -2.013840 53.538860)"
,TP:LIV->SCA,970,1593,,1,1,7.26701,1,65.0,1900.0,,,,"LINESTRING (-2.013840 53.538860, -1.930750 53.603190)"
,TP:LIV->SCA,1593,1188,,1,1,10.57755,1,65.0,1900.0,,,,"LINESTRING (-1.930750 53.603190, -1.784690 53.648500)"
,TP:LIV->SCA,1188,1546,,1,1,6.56711,1,65.0,1900.0,,,,"LINESTRING (-1.784690 53.648500, -1.692550 53.671400)"
,TP:LIV->SCA,1546,672,,1,1,4.35418,1,65.0,1900.0,,,,"LINESTRING (-1.692550 53.671400, -1.633110 53.692130)"
,TP:LIV->SCA,672,1561,,1,1,4.94558,1,65.0,1900.0,,,,"LINESTRING (-1.633110 53.692130, -1.590980 53.749920)"
,TP:LIV->SCA,1561,1357,,1,1,4.33769,1,65.0,1900.0,,,,"LINESTRING (-1.590980 53.749920, -1.548030 53.795630)"
,TP:LIV->SCA,1357,582,,1,1,6.70230,1,65.0,1900.0,,,,"LINESTRING (-1.548030 53.795630, -1.451580 53.804910)"
,TP:LIV->SCA,582,991,,1,1,4.82596,1,65.0,1900.0,,,,"LINESTRING (-1.451580 53.804910, -1.382310 53.796580)"
,TP:LIV->SCA,991,1542,,1,1,3.87748,1,65.0,1900.0,,,,"LINESTRING (-1.382310 53.796580, -1.326790 53.788840)"
,TP:LIV->SCA,1542,484,,1,1,7.34180,1,65.0,1900.0,,,,"LINESTRING (-1.326790 53.788840, -1.227590 53.826600)"
,TP:LIV->SCA,484,2572,,1,1,12.99914,1,65.0,1900.0,,,,"LINESTRING (-1.227590 53.826600, -1.093180 53.957970)"
,TP:LIV->SCA,2572,1559,,1,1,23.75068,1,65.0,1900.0,,,,"LINESTRING (-1.093180 53.957970, -0.797220 54.132080)"
,TP:LIV->SCA,1559,2027,,1,1,27.35107,1,65.0,1900.0,,,,"LINESTRING (-0.797220 54.132080, -0.417030 54.240750)"
,TP:LIV->SCA,2027,1995,,1,1,2.81178,1,65.0,1900.0,,,,"LINESTRING (-0.417030 54.240750, -0.405700 54.279790)"
,TP:MAN->HUL,1493,10,,1,1,2.55345,1,65.0,1900.0,,,,"LINESTRING (-2.230910 53.477360, -2.194440 53.471640)"
,TP:MAN->HUL,10,1015,,1,1,5.58798,1,65.0,1900.0,,,,"LINESTRING (-2.194440 53.471640, -2.113710 53.474630)"
,TP:MAN->HUL,1015,2239,,1,1,3.59209,1,65.0,1900.0,,,,"LINESTRING (-2.113710 53.474630, -2.062740 53.484580)"
,TP:MAN->HUL,582,1542,,1,1,8.70305,1,65.0,1900.0,,,,"LINESTRING (-1.451580 53.804910, -1.326790 53.788840)"
,TP:MAN->HUL,1542,1994,,1,1,18.19673,1,65.0,1900.0,,,,"LINESTRING (-1.326790 53.788840, -1.063790 53.782780)"
,TP:MAN->HUL,1994,923,,1,1,23.05965,1,65.0,1900.0,,,,"LINESTRING (-1.063790 53.782780, -0.732240 53.747960)"
,TP:MAN->HUL,923,379,,1,1,10.71797,1,65.0,1900.0,,,,"LINESTRING (-0.732240 53.747960, -0.578720 53.726960)"
,TP:MAN->HUL,379,1189,,1,1,16.16334,1,65.0,1900.0,,,,"LINESTRING (-0.578720 53.726960, -0.345680 53.744150)"
,TP:HUL->MAN,1189,379,,1,1,16.16334,1,65.0,1900.0,,,,"LINESTRING (-0.345680 53.744150, -0.578720 53.726960)"
,TP:HUL->MAN,379,923,,1,1,10.71797,1,65.0,1900.0,,,,"LINESTRING (-0.578720 53.726960, -0.732240 53.747960)"
,TP:HUL->MAN,923,1994,,1,1,23.05965,1,65.0,1900.0,,,,"LINESTRING (-0.732240 53.747960, -1.063790 53.782780)"
,TP:HUL->MAN,1994,1542,,1,1,18.19673,1,65.0,1900.0,,,,"LINESTRING (-1.063790 53.782780, -1.326790 53.788840)"
,TP:HUL->MAN,1542,991,,1,1,3.87748,1,65.0,1900.0,,,,"LINESTRING (-1.326790 53.788840, -1.382310 53.796580)"
,TP:HUL->MAN,991,582,,1,1,4.82596,1,65.0,1900.0,,,,"LINESTRING (-1.382310 53.796580, -1.451580 53.804910)"
,TP:HUL->MAN,582,1357,,1,1,6.70230,1,65.0,1900.0,,,,"LINESTRING (-1.451580 53.804910, -1.548030 53.795630)"
,TP:HUL->MAN,1357,1561,,1,1,4.33769,1,65.0,1900.0,,,,"LINESTRING (-1.548030 53.795630, -1.590980 53.749920)"
,TP:HUL->MAN,1561,672,,1,1,4.94558,1,65.0,1900.0,,,,"LINESTRING (-1.590980 53.749920, -1.633110 53.692130)"
,TP:HUL->MAN,672,1546,,1,1,4.35418,1,65.0,1900.0,,,,"LINESTRING (-1.633110 53.692130, -1.692550 53.671400)"
,TP:HUL->MAN,1546,1188,,1,1,6.56711,1,65.0,1900.0,,,,"LINESTRING (-1.692550 53.671400, -1.784690 53.648500)"
,TP:HUL->MAN,1188,1593,,1,1,10.57755,1,65.0,1900.0,,,,"LINESTRING (-1.784690 53.648500, -1.930750 53.603190)"
,TP:HUL->MAN,1593,970,,1,1,7.26701,1,65.0,1900.0,,,,"LINESTRING (-1.930750 53.603190, -2.013840 53.538860)"
,TP:HUL->MAN,970,2239,,1,1,5.05174,1,65.0,1900.0,,,,"LINESTRING (-2.013840 53.538860, -2.062740 53.484580)"
,TP:HUL->MAN,2239,1015,,1,1,3.59209,1,65.0,1900.0,,,,"LINESTRING (-2.062740 53.484580, -2.113710 53.474630)"
,TP:HUL->MAN,1015,10,,1,1,5.58798,1,65.0,1900.0,,,,"LINESTRING (-2.113710 53.474630, -2.194440 53.471640)"
,TP:HUL->MAN,10,1493,,1,1,2.55345,1,65.0,1900.0,,,,"LINESTRING (-2.194440 53.471640, -2.230910 53.477360)"
,TP:HUL->MAN,1542,582,,1,1,8.70305,1,65.0,1900.0,,,,"LINESTRING (-1.326790 53.788840, -1.451580 53.804910)"
,TP:MAN->HUL,1994,1148,,1,1,14.11990,1,65.0,1900.0,,,,"LINESTRING (-1.063790 53.782780, -0.860460 53.764710)"
,TP:MAN->HUL,1148,923,,1,1,8.94441,1,65.0,1900.0,,,,"LINESTRING (-0.860460 53.764710, -0.732240 53.747960)"
,TP:MAN->HUL,1542,2138,,1,1,5.29414,1,65.0,1900.0,,,,"LINESTRING (-1.326790 53.788840, -1.250530 53.782330)"
,TP:MAN->HUL,2138,1994,,1,1,12.91698,1,65.0,1900.0,,,,"LINESTRING (-1.250530 53.782330, -1.063790 53.782780)"
,TP:HUL->MAN,1188,2235,,1,1,6.91557,1,65.0,1900.0,,,,"LINESTRING (-1.784690 53.648500, -1.881580 53.623830)"
,TP:HUL->MAN,2235,1593,,1,1,3.68832,1,65.0,1900.0,,,,"LINESTRING (-1.881580 53.623830, -1.930750 53.603190)"
,TP:HUL->MAN,970,1592,,1,1,2.51547,1,65.0,1900.0,,,,"LINESTRING (-2.013840 53.538860, -2.041280 53.514980)"
,TP:HUL->MAN,1592,2239,,1,1,2.57284,1,65.0,1900.0,,,,"LINESTRING (-2.041280 53.514980, -2.062740 53.484580)"
,TP:EDB->MIA,778,1216,,1,1,2.13916,1,65.0,1900.0,,,,"LINESTRING (-3.188230 55.952390, -3.218450 55.945810)"
,TP:EDB->MIA,1216,2085,,1,1,2.17631,1,65.0,1900.0,,,,"LINESTRING (-3.218450 55.945810, -3.243460 55.926690)"
