od_no,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,agent_type,demand_period,volume,connectivity_flag,s_x_coord,s_y_coord,t_x_coord,t_y_coord,path_FF_travel_time_min,distance_km,distance_mile,OD0,OD1,OD2,OD3,OD4,OD5,OD6,OD7,OD8,OD9,OD10,OD11,OD12,OD13,OD14,OD15,OD16,OD17,OD18,OD19,
16,1,9,0,8,0,0,dms,AM,67.28,1,-111.942300,40.624038,-111.899113,40.558973,9.5776,9.3090,5.7856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
17,1,10,0,9,0,0,p,AM,4.41,1,-111.942300,40.624038,-111.897106,40.569721,9.3116,9.0396,5.6181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
18,1,10,0,9,0,0,dms,AM,4.41,1,-111.942300,40.624038,-111.897106,40.569721,9.3116,9.0396,5.6181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
19,1,11,0,10,0,0,p,AM,89.79,1,-111.942300,40.624038,-111.901030,40.587971,7.5428,7.6825,4.7747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
20,1,11,0,10,0,0,dms,AM,89.79,1,-111.942300,40.624038,-111.901030,40.587971,7.5428,7.6825,4.7747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
21,1,12,0,11,0,0,p,AM,2.40,1,-111.942300,40.624038,-111.906610,40.605960,5.1925,4.7516,2.9532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
22,1,12,0,11,0,0,dms,AM,2.40,1,-111.942300,40.624038,-111.906610,40.605960,5.1925,4.7516,2.9532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
23,1,13,0,12,0,0,p,AM,45.55,1,-111.942300,40.624038,-111.902804,40.610814,4.7700,4.5906,2.8531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
24,1,13,0,12,0,0,dms,AM,45.55,1,-111.942300,40.624038,-111.902804,40.610814,4.7700,4.5906,2.8531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
25,1,14,0,13,0,0,p,AM,55.89,1,-111.942300,40.624038,-111.901884,40.620828,4.0006,3.6809,2.2877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
