tmc_corridor_name,demand_period,links,vol0,speed0,DoC0,max_P0,vol,speed,Doc,P,diff_vol,diff_spd,diff_Doc,diff_P,d%_vol,d%_spd,
network_wide,AM,378,1712.05,21.7216,1.3449,14.3582,1712.05,21.7216,21478.6,7.37318e+07,0,0,21477.3,7.37318e+07,0,0,
sa link_id:368,AM,1,6876.3,0.1,4.05921,4.72672,6876.3,0.1,8.11842e+06,7.37318e+07,0,0,8.11842e+06,7.37318e+07,0,0,
