measurement_id,measurement_type,o_zone_id,d_zone_id,from_node_id,to_node_id,count,upper_bound_flag,note
1,production,6,,,,1600.6,,
2,production,41,,,,3475.5,,
3,production,11,,,,3749.5,,
4,production,3,,,,3777,,
5,production,9,,,,4112.5,,
6,production,5,,,,1333.2,,
7,production,1,,,,3348.8,,
8,production,14,,,,2711.8,,
9,production,2,,,,1557.8,,
10,production,13,,,,2473.1,,
11,production,4,,,,856.4,,
12,production,10,,,,796,,
13,production,15,,,,1543.6,,
14,production,18,,,,1022.9,,
15,production,16,,,,1671.7,,
16,production,7,,,,1673.9,,
17,production,8,,,,117.9,,
18,production,12,,,,230.8,,
19,production,17,,,,927.9,,
20,production,19,,,,674.7,,
21,production,20,,,,238.6,,
22,production,21,,,,964.8,,
23,production,22,,,,137.4,,
24,production,23,,,,557.7,,
25,production,24,,,,373.9,,
26,production,25,,,,449.4,,
27,production,26,,,,216.8,,
28,production,27,,,,370.2,,
29,production,28,,,,512.8,,
30,production,29,,,,288,,
31,production,30,,,,199.2,,
32,production,31,,,,876.8,,
33,production,32,,,,870,,
34,production,33,,,,361.7,,
35,production,34,,,,1066.3,,
36,production,35,,,,164.4,,
37,production,36,,,,471.1,,
38,production,37,,,,797.8,,
39,production,38,,,,902,,
40,production,39,,,,165.7,,
41,production,40,,,,139.2,,
42,attraction,,6,,,1848.9,,
43,attraction,,41,,,3434.6,,
44,attraction,,11,,,3151.7,,
45,attraction,,3,,,3827.4,,
46,attraction,,9,,,3025.2,,
47,attraction,,5,,,2022.8,,
48,attraction,,1,,,4604.6,,
49,attraction,,14,,,3881,,
50,attraction,,2,,,2495.2,,
51,attraction,,13,,,1360.5,,
52,attraction,,4,,,313,,
53,attraction,,10,,,327.2,,
54,attraction,,15,,,1622,,
55,attraction,,18,,,361.9,,
56,attraction,,16,,,1229.9,,
57,attraction,,7,,,1650.5,,
58,attraction,,8,,,117.9,,
59,attraction,,12,,,230.8,,
60,attraction,,17,,,927.7,,
61,attraction,,19,,,674.6,,
62,attraction,,20,,,238.3,,
63,attraction,,21,,,964.7,,
64,attraction,,22,,,137.4,,
65,attraction,,23,,,557.6,,
66,attraction,,24,,,373.9,,
67,attraction,,25,,,449.3,,
68,attraction,,26,,,216.6,,
69,attraction,,27,,,370,,
70,attraction,,28,,,512.6,,
71,attraction,,29,,,287.8,,
72,attraction,,30,,,199.1,,
73,attraction,,31,,,876.5,,
74,attraction,,32,,,870,,
75,attraction,,33,,,361.5,,
76,attraction,,34,,,1065.8,,
77,attraction,,35,,,164.4,,
78,attraction,,36,,,471,,
79,attraction,,37,,,797.8,,
80,attraction,,38,,,902,,
81,attraction,,39,,,165.6,,
82,attraction,,40,,,139.1,,
83,link,,,5216,5356,2267.8,,
84,link,,,5356,5216,2267.8,,
85,link,,,5214,11261,1685.5,,
86,link,,,11261,5214,1685.5,,
87,link,,,5208,5209,1273,,
88,link,,,5209,5208,1273,,
89,link,,,5112,11172,1334.2,,
90,link,,,11172,5112,1334.2,,
91,link,,,11160,5113,1306.2,,
92,link,,,5113,11160,1306.2,,
93,link,,,5017,5018,1857,,
94,link,,,5018,5017,1857,,
95,link,,,5022,4952,452.5,,
96,link,,,4952,5022,452.5,,
97,link,,,5436,11125,1540,,
98,link,,,11125,5436,1540,,
99,link,,,5436,5578,1952.2,,
100,link,,,5578,5436,1952.2,,
101,link,,,5112,5589,2179.2,,
102,link,,,5589,5112,2179.2,,
