from_stop_id,to_stop_id,transfer_type,min_transfer_time
AAP,AAP,2,300
AAT,AAT,2,300
ABA,ABA,2,180
ABC,ABC,2,300
ABD,ABD,2,300
ABE,ABE,2,300
ABF,ABF,2,60
ABH,ABH,2,300
ABW,ABW,2,240
ABY,ABY,2,300
ACB,ACB,2,300
ACC,ACC,2,300
ACG,ACG,2,300
ACH,ACH,2,300
ACK,ACK,2,300
ACL,ACL,2,300
ACN,ACN,2,300
ACR,ACR,2,300
ACT,ACT,2,180
ACY,ACY,2,300
ADC,ADC,2,300
ADD,ADD,2,300
ADK,ADK,2,300
ADL,ADL,2,300
ADM,ADM,2,240
ADN,ADN,2,300
ADR,ADR,2,300
ADS,ADS,2,300
ADV,ADV,2,360
ADW,ADW,2,300
AFK,AFK,2,300
AFS,AFS,2,360
AFV,AFV,2,300
AGL,AGL,2,300
AGS,AGS,2,300
AGT,AGT,2,300
AGV,AGV,2,300
AHD,AHD,2,240
AHN,AHN,2,300
AHS,AHS,2,240
AHT,AHT,2,240
AHV,AHV,2,300
AIG,AIG,2,300
AIN,AIN,2,300
AIR,AIR,2,300
ALB,ALB,2,300
ALD,ALD,2,300
ALF,ALF,2,300
ALG,ALG,2,300
ALK,ALK,2,300
ALM,ALM,2,300
ALN,ALN,2,300
ALO,ALO,2,300
ALP,ALP,2,300
ALR,ALR,2,300
ALT,ALT,2,300
ALV,ALV,2,300
ALW,ALW,2,300
ALX,ALX,2,300
AMB,AMB,2,300
AMF,AMF,2,300
AML,AML,2,300
AMM,AMM,2,300
AMO,AMO,2,300
AMR,AMR,2,60
AMT,AMT,2,300
AMY,AMY,2,240
ANC,ANC,2,300
AND,AND,2,300
ANF,ANF,2,360
ANG,ANG,2,180
ANH,ANH,2,300
ANL,ANL,2,300
ANM,ANM,2,300
ANN,ANN,2,300
ANS,ANS,2,300
ANZ,ANZ,2,300
AON,AON,2,300
APB,APB,2,300
APD,APD,2,240
APF,APF,2,300
APG,APG,2,300
APN,APN,2,300
APP,APP,2,300
APS,APS,2,300
APY,APY,2,300
ARA,ARA,2,300
ARB,ARB,2,300
ARD,ARD,2,300
ARG,ARG,2,300
ARL,ARL,2,300
ARM,ARM,2,300
ARN,ARN,2,300
ARP,ARP,2,300
ARR,ARR,2,300
ART,ART,2,300
ARU,ARU,2,240
ARW,ARW,2,300
ASB,ASB,2,300
ASC,ASC,2,300
ASF,ASF,2,300
ASG,ASG,2,300
ASH,ASH,2,300
ASI,ASI,2,900
ASK,ASK,2,300
ASM,ASM,2,300
ASN,ASN,2,360
ASP,ASP,2,300
ASS,ASS,2,300
AST,AST,2,300
ASY,ASY,2,300
ATB,ATB,2,300
ATH,ATH,2,300
ATL,ATL,2,300
ATM,ATM,2,300
ATN,ATN,2,300
ATO,ATO,2,60
ATR,ATR,2,300
ATT,ATT,2,300
ATY,ATY,2,300
AUD,AUD,2,300
AUG,AUG,2,300
AUI,AUI,2,300
AUK,AUK,2,300
AUL,AUL,2,300
AUR,AUR,2,300
AUW,AUW,2,300
AVF,AVF,2,300
AVM,AVM,2,300
AVN,AVN,2,120
AVP,AVP,2,60
AVY,AVY,2,300
AWK,AWK,2,300
AWL,AWL,2,300
AWM,AWM,2,300
AWP,AWP,2,300
AWT,AWT,2,300
AXM,AXM,2,300
AXP,AXP,2,300
AYH,AYH,2,240
AYL,AYL,2,240
AYP,AYP,2,240
AYR,AYR,2,300
AYS,AYS,2,300
AYW,AYW,2,300
BAA,BAA,2,300
BAB,BAB,2,240
BAC,BAC,2,300
BAD,BAD,2,240
BAG,BAG,2,360
BAH,BAH,2,300
BAI,BAI,2,300
BAJ,BAJ,2,300
BAK,BAK,2,240
BAL,BAL,2,240
BAM,BAM,2,300
BAN,BAN,2,300
BAO,BAO,2,300
BAR,BAR,2,300
BAS,BAS,2,300
BAT,BAT,2,240
BAU,BAU,2,300
BAV,BAV,2,300
BAW,BAW,2,540
BAX,BAX,2,300
BAY,BAY,2,300
BBG,BBG,2,300
BBK,BBK,2,300
BBL,BBL,2,240
BBN,BBN,2,300
BBS,BBS,2,300
BBW,BBW,2,300
BBY,BBY,2,180
BCB,BCB,2,120
BCC,BCC,2,300
BCE,BCE,2,360
BCF,BCF,2,60
BCG,BCG,2,300
BCH,BCH,2,300
BCJ,BCJ,2,120
BCK,BCK,2,300
BCN,BCN,2,300
BCS,BCS,2,180
BCU,BCU,2,180
BCV,BCV,2,300
BCY,BCY,2,240
BDA,BDA,2,300
BDB,BDB,2,300
BDC,BDC,2,300
BDF,BDF,2,300
BDG,BDG,2,300
BDH,BDH,2,360
BDI,BDI,2,300
BDK,BDK,2,300
BDL,BDL,2,300
BDM,BDM,2,420
BDN,BDN,2,300
BDQ,BDQ,2,120
BDS,BDS,2,300
BDT,BDT,2,300
BDW,BDW,2,300
BDY,BDY,2,300
BEA,BEA,2,300
BEB,BEB,2,300
BEC,BEC,2,240
BEE,BEE,2,300
BEF,BEF,2,300
BEG,BEG,2,240
BEH,BEH,2,300
BEL,BEL,2,300
