route_id,agency_id,route_short_name,route_long_name,route_type,route_text_color,route_color,route_url,route_desc
257628,ZZ,Z:PMS->PMS,Z bus service from PMS to PMS,3,,,,Bus. Standard class only. Reservation not possible
257658,ZZ,Z:XOF->PMH,Z boat service from XOF to PMH,4,,,,Boat. Standard class only. Reservation not possible
257806,ZZ,Z:PMH->XOF,Z boat service from PMH to XOF,4,,,,Boat. Standard class only. Reservation not possible
257954,ZZ,Z:SFF->AUD,Z bus service from SFF to AUD,3,,,,Bus. Standard class only. Reservation not possible
257956,ZZ,Z:GLD->GLD,Z bus service from GLD to GLD,3,,,,Bus. Standard class only. Reservation not possible
258780,ZZ,Z:AUD->SFF,Z bus service from AUD to SFF,3,,,,Bus. Standard class only. Reservation not possible
258803,ZZ,Z:BSD->BSD,Z bus service from BSD to BSD,3,,,,Bus. Standard class only. Reservation not possible
258890,ZZ,Z:BPO->BPO,Z bus service from BPO to BPO,3,,,,Bus. Standard class only. Reservation not possible
258891,ZZ,Z:DCH->BPO,Z bus service from DCH to BPO,3,,,,Bus. Standard class only. Reservation not possible
258906,ZZ,Z:BPO->DCH,Z bus service from BPO to DCH,3,,,,Bus. Standard class only. Reservation not possible
258910,ZZ,Z:LPO->AXM,Z bus service from LPO to AXM,3,,,,Bus. Standard class only. Reservation not possible
258911,ZZ,Z:LPO->LPO,Z bus service from LPO to LPO,3,,,,Bus. Standard class only. Reservation not possible
258929,ZZ,Z:AXM->LPO,Z bus service from AXM to LPO,3,,,,Bus. Standard class only. Reservation not possible
258940,ZZ,Z:MTE->MTE,Z bus service from MTE to MTE,3,,,,Bus. Standard class only. Reservation not possible
258941,ZZ,Z:MTE->NNN,Z bus service from MTE to NNN,3,,,,Bus. Standard class only. Reservation not possible
258945,ZZ,Z:NNN->MTE,Z bus service from NNN to MTE,3,,,,Bus. Standard class only. Reservation not possible
258958,ZZ,Z:SIB->SIB,Z bus service from SIB to SIB,3,,,,Bus. Standard class only. Reservation not possible
258999,ZZ,Z:BFB->BFB,Z bus service from BFB to BFB,3,,,,Bus. Standard class only. Reservation not possible
259373,ZZ,Z:QXO->QXD,Z train service from QXO to QXD,2,,,,Train. Standard class only. Reservation not possible
259375,ZZ,Z:QEO->QED,Z train service from QEO to QED,2,,,,Train. Standard class only. Reservation not possible
259389,ZZ,Z:WIR->WIR,Z train service from WIR to WIR,2,,,,Train. Standard class only. Reservation not possible
259702,ZZ,Z:SPH->SPH,Z train service from SPH to SPH,2,,,,Train. Standard class only. Reservation not possible
1,SR,SR:EDA->INK,SR bus service from EDA to INK,3,,,,Bus. Standard class only. Reservation not possible
21,SR,SR:GGT->PYG,SR bus service from GGT to PYG,3,,,,Bus. Standard class only. Reservation not possible
37,SR,SR:INK->EDA,SR bus service from INK to EDA,3,,,,Bus. Standard class only. Reservation not possible
38,SR,SR:BFA->CRP,SR boat service from BFA to CRP,4,,,,Boat. Standard class only. Reservation possible
39,SR,SR:CRP->BFA,SR boat service from CRP to BFA,4,,,,Boat. Standard class only. Reservation possible
41,SR,SR:CRP->AYR,SR bus service from CRP to AYR,3,,,,Bus. Standard class only. Reservation not possible
42,SR,SR:AYR->CRP,SR bus service from AYR to CRP,3,,,,Bus. Standard class only. Reservation not possible
51,SR,SR:EDA->HYM,SR bus service from EDA to HYM,3,,,,Bus. Standard class only. Reservation not possible
56,SR,SR:PYG->GGT,SR bus service from PYG to GGT,3,,,,Bus. Standard class only. Reservation not possible
183,SR,SR:HYM->EDA,SR bus service from HYM to EDA,3,,,,Bus. Standard class only. Reservation not possible
260,SW,SW:WAT->PMH,SW train service from WAT to PMH,2,,,,Train. First class available. Reservation possible
92695,SW,SW:ESL->PMH,SW train service from ESL to PMH,2,,,,Train. First class available. Reservation possible
246411,SW,SW:WAT->WIN,SW train service from WAT to WIN,2,,,,Train. First class available. Reservation possible
334,TP,TP:RCC->YRK,TP train service from RCC to YRK,2,,,,Train. First class available. Reservation possible
367,TP,TP:CLE->SHF,TP train service from CLE to SHF,2,,,,Train. First class available. Reservation possible
131595,TP,TP:DON->SHF,TP train service from DON to SHF,2,,,,Train. First class available. Reservation possible
246413,TP,TP:CLE->SCU,TP train service from CLE to SCU,2,,,,Train. First class available. Reservation possible
392,TP,TP:LIV->SCA,TP train service from LIV to SCA,2,,,,Train. First class available. Reservation possible
170125,TP,TP:MCV->SCA,TP train service from MCV to SCA,2,,,,Train. First class available. Reservation possible
431,TP,TP:MAN->HUL,TP train service from MAN to HUL,2,,,,Train. First class available. Reservation possible
246415,TP,TP:LDS->HUL,TP train service from LDS to HUL,2,,,,Train. First class available. Reservation possible
432,TP,TP:HUL->MAN,TP train service from HUL to MAN,2,,,,Train. First class available. Reservation possible
113326,TP,TP:HUL->LDS,TP train service from HUL to LDS,2,,,,Train. First class available. Reservation possible
470,TP,TP:EDB->MIA,TP train service from EDB to MIA,2,,,,Train. First class available. Reservation possible
473,TP,TP:YRK->RCC,TP train service from YRK to RCC,2,,,,Train. First class available. Reservation possible
510,TP,TP:YRK->MCV,TP train service from YRK to MCV,2,,,,Train. First class available. Reservation possible
513,TP,TP:MCV->RCC,TP train service from MCV to RCC,2,,,,Train. First class available. Reservation possible
514,TP,TP:RCC->MIA,TP train service from RCC to MIA,2,,,,Train. First class available. Reservation possible
518,TP,TP:MIA->RCC,TP train service from MIA to RCC,2,,,,Train. First class available. Reservation possible
530,TP,TP:RCC->MCV,TP train service from RCC to MCV,2,,,,Train. First class available. Reservation possible
532,TP,TP:SCA->MIA,TP train service from SCA to MIA,2,,,,Train. First class available. Reservation possible
550,TP,TP:YRK->SCA,TP train service from YRK to SCA,2,,,,Train. First class available. Reservation possible
551,TP,TP:HUD->LDS,TP train service from HUD to LDS,2,,,,Train. First class available. Reservation possible
552,TP,TP:LDS->HUD,TP train service from LDS to HUD,2,,,,Train. First class available. Reservation possible
629,LO,LO:WFJ->EUS,LO train service from WFJ to EUS,2,,,,Train. Standard class only. Reservation not possible
630,LO,LO:EUS->WFJ,LO train service from EUS to WFJ,2,,,,Train. Standard class only. Reservation not possible
631,LO,LO:RMD->SRA,LO train service from RMD to SRA,2,,,,Train. Standard class only. Reservation not possible
150285,LO,LO:SAT->SRA,LO train service from SAT to SRA,2,,,,Train. Standard class only. Reservation not possible
186978,LO,LO:RMD->CMD,LO train service from RMD to CMD,2,,,,Train. Standard class only. Reservation not possible
632,GC,GC:BDI->KGX,GC train service from BDI to KGX,2,,,,Train. First class available. Reservation possible
633,GC,GC:KGX->BDI,GC train service from KGX to BDI,2,,,,Train. First class available. Reservation possible
263533,XC,XC:ABD->EDB,XC train service from ABD to EDB,2,,,,Train. First class available. Reservation possible
636,XC,XC:BRI->PLY,XC train service from BRI to PLY,2,,,,Train. First class available. Reservation possible
