stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
CTW,CHOS,Church & Oswaldtwistle,0,53.75052,-2.39121,,,,,Europe/London,0
CUA,CULRAIN,Culrain,0,57.91951,-4.40427,,,,,Europe/London,0
CUB,CMBRNLD,Cumbernauld,1,55.94203,-3.98033,,,,,Europe/London,0
CUD,CUDNGTN,Cuddington,0,53.23992,-2.59931,,,,,Europe/London,0
CUF,CUFFLEY,Cuffley,0,51.70872,-0.10978,,,,,Europe/London,0
CUH,CURRIEH,Curriehill,0,55.90057,-3.31875,,,,,Europe/London,0
CUL,CUMBRAE,CUMBRAE,0,0,0,,,,,Europe/London,0
CUM,CULHAM,Culham,0,51.65379,-1.23651,,,,,Europe/London,0
CUP,CUPAR,Cupar,0,56.31699,-3.00876,,,,,Europe/London,0
CUS,CUSTMHS,CUSTOM HOUSE CROSSRAIL,0,0,0,,,,,Europe/London,0
CUW,CLYNDRW,Clunderwen,0,51.84054,-4.73184,,,,,Europe/London,0
CUX,CXTN,Cuxton,0,51.37393,0.46171,,,,,Europe/London,0
CVG,CHBUVIL,CHARLBURY VILLAGE,1,0,0,,,,,Europe/London,0
CWB,CBAY,Colwyn Bay,0,53.29636,-3.72542,,,,,Europe/London,0
CWC,CHPWKSC,Chappel & Wakes Colne,1,51.92591,0.7585,,,,,Europe/London,0
CWD,CRWLL,Creswell (Derbys),0,53.26411,-1.21639,,,,,Europe/London,0
CWE,CROWLE,Crowle,0,53.58973,-0.81736,,,,,Europe/London,0
CWH,CRHL,Crews Hill,0,51.68449,-0.10689,,,,,Europe/London,0
