agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url
AW,Arriva Trains Wales,https://www.arrivatrainswales.co.uk/,Europe/London,en,0845 6061660,
CC,c2c,https://www.c2c-online.co.uk/,Europe/London,en,0845 6014873,
CH,Chiltern Railways,https://www.chilternrailways.co.uk/,Europe/London,en,08456 005 165,
XC,CrossCountry,https://www.crosscountrytrains.co.uk/,Europe/London,en,08447 369 123,
GR,East Coast,https://www.eastcoast.co.uk/,Europe/London,en,08457 225 225,
EM,East Midlands Trains,https://www.eastmidlandstrains.co.uk/,Europe/London,en,08457 125 678,
GW,First Great Western,https://www.firstgreatwestern.co.uk/,Europe/London,en,08457 000 125,
HT,First Hull Trains,https://www.hulltrains.co.uk/,Europe/London,en,08456 769 905,
TP,First TransPennine Express,https://www.tpexpress.co.uk/,Europe/London,en,0845 600 1671,
GX,Gatwick Express,https://www.gatwickexpress.com/,Europe/London,en,0845 850 15 30,
GC,Grand Central,https://www.grandcentralrail.co.uk/,Europe/London,en,0845 6034852,
GN,Great Northern,https://www.greatnorthernrail.com/,Europe/London,en,0345 026 4700,
LE,Abellio Greater Anglia,https://www.abelliogreateranglia.co.uk/,Europe/London,en,0845 600 7245,
HC,Heathrow Connect,https://www.heathrowconnect.com/,Europe/London,en,0845 678 6975,
HX,Heathrow Express,https://www.heathrowexpress.com/,Europe/London,en,020 8750 6600,
IL,Island Line,https://www.southwesttrains.co.uk/,Europe/London,en,01983 812 591,
LM,London Midland,https://www.londonmidland.com/,Europe/London,en,0121 634 2040,
LO,London Overground,https://www.tfl.gov.uk/overground,Europe/London,en,0845 601 4867,
LT,London Underground,https://tube.tfl.gov.uk/,Europe/London,en,020 7222 5600,
ME,Merseyrail,https://www.merseyrail.org/,Europe/London,en,0151 702 2071,
NT,Northern Rail,https://www.northernrail.org/,Europe/London,en,0845 00 00 125,
SR,ScotRail,https://www.scotrail.co.uk/,Europe/London,en,08700 005151,
SW,South West Trains,https://www.southwesttrains.co.uk/,Europe/London,en,08700 00 5151,
SE,Southeastern,https://www.southeasternrailway.co.uk/,Europe/London,en,0845 000 2222,
SN,Southern,https://www.southernrailway.com/,Europe/London,en,08451 27 29 20,
TL,Thameslink,https://www.thameslinkrailway.com/,Europe/London,en,0345 026 4700,
VT,Virgin Trains,https://www.virgintrains.co.uk/,Europe/London,en,0845 000 8000,
TW,Nexus (Tyne & Wear Metro),https://www.nexus.org.uk/metro,Europe/London,en,0191 20 20 747,
CS,Serco Caledonian Sleeper,https://www.sleeper.scot/,Europe/London,en,0330 060 0500,
XR,Crossrail,https://www.nationalrail.co.uk/,Europe/London,en,08457 48 49 50,
QC,Caledonian MacBrayne,https://www.calmac.co.uk/,Europe/London,en,,
QS,Stena Line,https://www.google.com,Europe/London,en,,
ZZ,Other operator,https://www.google.com,Europe/London,en,,
