from_stop_id,to_stop_id,mode,duration,start_time,end_time,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
AFK,ASI,WALK,300,00:01:00,23:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ASI,AFK,WALK,300,00:01:00,23:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
AFK,ASI,WALK,300,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ASI,AFK,WALK,300,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
AHS,ABF,WALK,360,00:01:00,23:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ABF,AHS,WALK,360,00:01:00,23:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
AHS,ABF,WALK,360,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ABF,AHS,WALK,360,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
AHV,NCM,WALK,660,00:01:00,23:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
NCM,AHV,WALK,660,00:01:00,23:59:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
AHV,NCM,WALK,660,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
NCM,AHV,WALK,660,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,AMM,METRO,3240,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
AMM,ALT,METRO,3240,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,AMM,METRO,3060,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
AMM,ALT,METRO,3060,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,AMM,METRO,3240,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
AMM,ALT,METRO,3240,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,AMM,METRO,3060,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
AMM,ALT,METRO,3060,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,AMO,METRO,3900,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
AMO,ALT,METRO,3900,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,AMO,METRO,3720,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
AMO,ALT,METRO,3720,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,AMO,METRO,3900,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
AMO,ALT,METRO,3900,17:31:00,22:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,AMO,METRO,3720,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
AMO,ALT,METRO,3720,06:00:00,23:00:00,2017-01-01,2038-01-19,1,1,1,1,1,1,0
ALT,ANH,METRO,2400,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ANH,ALT,METRO,2400,07:00:00,09:29:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ALT,ANH,METRO,2220,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
ANH,ALT,METRO,2220,09:30:00,17:30:00,2017-01-01,2038-01-19,0,0,0,0,0,0,1
